,date,state,abbrev,population,positive,active,probableCases,totalTestResultsSource,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
0,2020-10-19,Alaska,AK,734002,12220.0,5637.0,,totalTestsViral,65.0,,,8.0,6516.0,A,10/19/2020 03:59,2020-10-19T03:59:00Z,10/18 23:59,67.0,,536223.0,10859.0,525048.0,12220.0,67.0,,,,,,,,,,,,,,0,0,0,0,0,,2.2,1614.8044
1,2020-10-19,Alabama,AL,4908621,173485.0,96458.0,21213.0,totalTestsViral,859.0,19081.0,,,74238.0,A,10/19/2020 11:00,2020-10-19T11:00:00Z,10/19 07:00,2789.0,19081.0,1260100.0,,,152272.0,2621.0,168.0,,,,,,61800.0,,,,,,,0,0,0,0,0,,3.1,15216.725100000001
2,2020-10-19,Arkansas,AR,3038999,99597.0,8666.0,5807.0,totalTestsViral,604.0,6361.0,248.0,95.0,89217.0,A+,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,1714.0,6361.0,1223914.0,,1130124.0,93790.0,1562.0,152.0,,,,,,,,,36212.0,6413.0,21856.0,3300.0,0,0,0,0,0,,3.2,9724.7968
3,2020-10-19,Arizona,AZ,7378494,231897.0,187514.0,5216.0,totalTestsPeopleViral,721.0,20648.0,177.0,94.0,38553.0,A+,10/19/2020 00:00,2020-10-19T00:00:00Z,10/18 20:00,5830.0,20648.0,,,,226681.0,5544.0,286.0,,1639785.0,309007.0,,,,,,,,,,0,0,0,0,0,,1.9,14019.138599999998
4,2020-10-19,California,CA,39937489,870791.0,853821.0,,totalTestsViral,3002.0,,758.0,,0.0,B,10/19/2020 02:59,2020-10-19T02:59:00Z,10/18 22:59,16970.0,,17042408.0,,,870791.0,,,,,,,,,,,,,,,0,0,0,0,0,,1.8,71887.4802
5,2020-10-19,Colorado,CO,5845526,85302.0,76084.0,5810.0,totalTestEncountersViral,445.0,8227.0,,,7176.0,A,10/18/2020 01:59,2020-10-18T01:59:00Z,10/17 21:59,2042.0,8227.0,,,,79492.0,,,1689313.0,1080158.0,176987.0,12531.0,164456.0,,,,,,,,0,0,0,0,0,,1.9,11106.499399999999
6,2020-10-19,Connecticut,CT,3563077,64021.0,49816.0,2580.0,posNeg,195.0,12043.0,,,9651.0,B,10/18/2020 20:30,2020-10-18T20:30:00Z,10/18 16:30,4554.0,12043.0,2037017.0,,,61441.0,3652.0,902.0,,,,,,,,,,,,,0,0,0,0,0,,2.0,7126.154
7,2020-10-19,District of Columbia,DC,720687,16395.0,2930.0,,totalTestEncountersViral,84.0,,20.0,9.0,12824.0,A+,10/18/2020 00:00,2020-10-18T00:00:00Z,10/17 20:00,641.0,,,,,,,,469040.0,241621.0,,,,,,,,,,,0,0,0,0,0,,4.4,3171.0228
8,2020-10-19,Delaware,DE,982895,23196.0,10417.0,1098.0,posNeg,107.0,,19.0,,12113.0,A+,10/18/2020 18:00,2020-10-18T18:00:00Z,10/18 14:00,666.0,,512407.0,,,22098.0,585.0,81.0,,329018.0,,,,,,,,,,,0,0,0,0,0,,2.2,2162.369
9,2020-10-19,Florida,FL,21992985,756727.0,740505.0,25266.0,posNeg,2057.0,47664.0,,,0.0,A,10/18/2020 23:59,2020-10-18T23:59:00Z,10/18 19:59,16222.0,47664.0,8308895.0,973367.0,7291080.0,731461.0,16222.0,,,5746529.0,539844.0,51923.0,487730.0,526404.0,50676.0,475588.0,,,,,0,0,0,0,0,,2.6,57181.761000000006
