state,abbrev,population,positive,active,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,recovered,dataQualityGrade,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,bedsPerThousand,total_beds
Alaska,AK,734002,883,348,12,,,1,521,A,14,,108300,,,,0,0,0,0,0,,2.2,1614.8044
Alabama,AL,4908621,35441,15656,655,2703,,,18866,B,919,2703,,,,34964,0,0,0,0,0,,3.1,15216.7251
Arkansas,AR,3038999,19310,5781,278,1373,,63,13270,A,259,1373,,,,19310,0,0,0,0,0,,3.2,9724.7968
Arizona,AZ,7378494,73908,63394,2691,4617,666,475,8926,A+,1588,4617,509485,,,73497,0,0,0,0,0,,1.9,14019.1386
California,CA,39937489,211243,205338,5956,,1602,,0,B,5905,,3955952,,,211243,0,0,0,0,0,,1.8,71887.4802
Colorado,CO,5845526,32022,25906,235,5399,,,4442,A,1674,5399,,,,29194,0,0,0,0,0,,1.9,11106.4994
Connecticut,CT,3563077,46303,33934,103,10268,,,8053,B,4316,10268,436644,,,44324,0,0,0,0,0,,2,7126.154
District of Columbia,DC,720687,10248,8499,126,,34,27,1199,A+,550,,,,,10248,0,0,0,0,0,,4.4,3171.0228
Delaware,DE,982895,11226,4054,78,,14,,6665,A+,507,,,,,10162,0,0,0,0,0,,2.2,2162.369
Florida,FL,21992985,141075,137557,,14540,,,0,A,3518,14540,2256314,182100,2070179,141075,0,0,0,0,0,,2.6,57181.761
Georgia,GA,10736059,77210,74432,1236,10711,,,0,A,2778,10711,806938,70881,736057,77210,0,0,0,0,0,,2.4,25766.5416
Hawaii,HI,1412687,872,140,,110,,,714,D,18,110,87882,872,87010,872,0,0,0,0,0,,1.9,2684.1053
Iowa,IA,3179849,28489,10164,118,,36,18,17620,A+,705,,,,,28489,0,0,0,0,0,,3,9539.547
Idaho,ID,1826156,5319,1330,,312,,,3898,A,91,312,85816,,,4790,0,0,0,0,0,,1.9,3469.6964
Illinois,IL,12659682,142776,135687,1464,,373,193,0,A,7089,,1544978,,,141723,0,0,0,0,0,,2.5,31649.205
Indiana,IN,6745354,44930,8376,617,7003,266,86,33935,A+,2619,7003,,,,44930,0,0,0,0,0,,2.7,18212.4558
Kansas,KS,2910357,13538,12495,,1128,,,779,A,264,1128,,,,13538,0,0,0,0,0,,3.3,9604.1781
Kentucky,KY,4499692,15232,10944,386,2590,68,,3730,B,558,2590,,,,14732,0,0,0,0,0,,3.2,14399.0144
Louisiana,LA,4645184,56236,13245,715,,,76,39792,B,3199,,,,,56236,0,0,0,0,0,,3.3,15329.1072
Massachusetts,MA,6976597,108667,100607,748,11319,134,81,0,A+,8060,11319,1048942,,,103539,0,0,0,0,0,,2.3,16046.1731
Maryland,MD,6083116,66777,58633,446,10793,158,,4976,A,3168,10793,631490,,,66777,0,0,0,0,0,,1.9,11557.9204
Maine,ME,1345790,3191,510,31,346,10,4,2577,A,104,346,93142,3884,89123,2838,0,0,0,0,0,,2.5,3364.475
Michigan,MI,10045029,69946,12689,557,,193,106,51099,A+,6158,,1033820,87087,946733,63261,0,0,0,0,0,,2.5,25112.5725
Minnesota,MN,5700671,35549,3280,288,4010,143,,30809,A,1460,4010,585417,,,35549,0,0,0,0,0,,2.5,14251.6775
Missouri,MO,6169270,20575,19578,412,,,,0,B,997,,424214,23527,399926,20575,0,0,0,0,0,,3.1,19124.737
Mississippi,MS,2989260,25892,7611,676,3102,149,88,17242,A,1039,3102,280020,,,25724,0,0,0,0,0,,4,11957.04
Montana,MT,1086759,863,237,11,97,,,604,C,22,97,,,,863,0,0,0,0,0,,3.3,3586.3047
North Carolina,NC,10611862,62142,23899,890,,,,36921,A,1322,,,,,62142,0,0,0,0,0,,2.1,22284.9102
North Dakota,ND,761723,3495,268,24,226,,,3139,D,88,226,177229,,,3495,0,0,0,0,0,,4.3,3275.4089
Nebraska,NE,1952570,18775,5455,123,1315,,,13053,B,267,1315,,,,18775,0,0,0,0,0,,3.6,7029.252
New Hampshire,NH,1371246,5717,949,35,562,,,4401,B,367,562,,,,5717,0,0,0,0,0,,2.1,2879.6166
New Jersey,NJ,8936574,171182,126115,1014,19841,223,187,30092,A+,14975,19841,,,,171182,0,0,0,0,0,,2.4,21447.7776
New Mexico,NM,2096640,11619,5877,122,1851,,,5251,B,491,1851,,,,11619,0,0,0,0,0,,1.8,3773.952
Nevada,NV,3139658,17160,15976,511,,122,59,684,A+,500,,307131,,,17160,0,0,0,0,0,,2.1,6593.2818
New York,NY,19440469,392539,297694,869,89995,229,167,70010,A,24835,89995,,,,392539,0,0,0,0,0,,2.7,52489.2663
Ohio,OH,11747694,50309,47502,661,7681,182,101,0,B,2807,7681,,,,46790,0,0,0,0,0,,2.8,32893.5432
Oklahoma,OK,3954821,12994,3212,329,1456,134,,9397,A+,385,1456,327683,13941,313021,12642,0,0,0,0,0,,2.8,11073.4988
Oregon,OR,4301089,8341,5490,149,1022,53,35,2649,A+,202,1022,,,223317,7521,0,0,0,0,0,,1.6,6881.7424
Pennsylvania,PA,12820878,85496,12231,648,,,121,66686,A+,6579,,,,,81956,0,0,0,0,0,,2.9,37180.5462
Rhode Island,RI,1056161,16661,14134,91,1984,16,15,1600,A+,927,1984,,,,16661,0,0,0,0,0,,2.1,2217.9381
South Carolina,SC,5210095,33320,19148,954,2622,,,13456,A,716,2622,359703,42618,317085,33221,0,0,0,0,0,,2.4,12504.228
South Dakota,SD,903027,6681,838,75,652,,,5752,B,91,652,,,,6681,0,0,0,0,0,,4.8,4334.5296
Tennessee,TN,6897576,40172,13429,484,2564,,,26159,B,584,2564,748229,46468,701761,39848,0,0,0,0,0,,2.9,20002.9704
Texas,TX,29472295,148728,66361,5497,,,,79974,B,2393,,1775219,,,,0,0,0,0,0,,2.3,67786.2785
Utah,UT,3282115,21100,9002,289,1396,83,,11931,A+,167,1396,,,,21100,0,0,0,0,0,,1.8,5907.807
Virginia,VA,8626207,61736,51999,818,8823,235,107,8005,A+,1732,8823,625663,,,59071,0,0,0,0,0,,2.1,18115.0347
Vermont,VT,628061,1202,200,15,,,,946,B,56,,,,,1202,0,0,0,0,0,,2.1,1318.9281
Washington,WA,7797095,31404,30094,304,4240,,58,0,B,1310,4240,,,,31404,0,0,0,0,0,,1.7,13255.0615
